,Movie,LikeCountMean,LikeCountMax,RetweetCountMean,RetweetCountMax,ReplyCountMean,ReplyCountMax,QuoteCountMean,QuoteCountMax,VerifiedMean,FriendsCountMean,FriendsCountMax,FollowersCountMean,FollowersCountMax,StatusesCountMean,StatusesCountMax,revenue
876,In Darkness,6.35,120,2.55,79,0.42,5,0.18,2,0.09,6133.58,202722,50250.79,3443090,60013.25,1025678,217427.0
877,In and Out,5.02,69,1.16,31,0.95,23,0.13,3,0.09,959.09,7500,22714.31,996090,46105.74,349192,1943343.0
878,In the Arms of an Assassin,5.970588235294118,37,0.9705882352941176,6,0.5588235294117647,6,0.08823529411764706,1,0.058823529411764705,969.6764705882352,7881,33341.08823529412,511500,70691.91176470589,391767,425332.0
879,In the Fade,5.18,194,1.3,59,0.37,7,0.19,11,0.2,2217.09,91294,180393.83,7798551,104983.27,2016501,321011.0
880,In the Heights,19.84,313,2.38,85,0.66,8,0.54,22,0.18,8886.47,230875,147022.85,5249210,64861.46,1579496,43000000.0
881,Incantation,8.25,262,0.62,27,1.05,42,0.05,2,0.0,9919.05,20323,10229.36,21250,80675.5,143620,5700000.0
882,Incredibles 2,4.2,44,1.46,15,0.99,31,0.09,2,0.01,5422.79,93098,7487.51,132412,86132.88,416130,1242805359.0
883,Infinite Storm,6.62,117,1.51,26,0.4,7,0.2,3,0.28,5114.4,230877,180258.28,4205282,61845.22,503427,1564696.0
884,Ingrid Goes West,17.34,476,3.01,68,0.38,6,0.66,21,0.47,2327.25,43979,159596.51,6462589,58385.54,640538,24931915.0
885,Inhumans: The First Chapter,59.78787878787879,932,14.212121212121213,190,2.393939393939394,33,1.7878787878787878,22,0.6363636363636364,6915.151515151515,36871,696006.0303030303,16734417,38482.545454545456,81918,2600000.0
886,Insidious: The Last Key,29.73,1259,227.75,21683,0.66,11,1.57,68,0.14,4077.57,78251,90055.42,2656201,63498.94,462224,167184112.0
887,Instant Family,9.25,164,1.51,33,0.58,11,0.13,3,0.33,1481.89,36871,208668.92,10039734,56972.25,973934,120989656.0
888,Into the Deep,10.39,185,0.9,22,0.88,10,0.06,2,0.02,2011.16,45002,6870.69,121177,20299.33,263714,42195.0
889,Into the Labyrinth,11.55,536,2.01,76,0.66,13,0.2,7,0.05,2177.39,53214,26257.89,2050542,56013.8,570864,2514679.0
890,Intruder,24.4,1025,7.28,501,0.83,13,0.68,53,0.02,1739.12,19356,4949.06,140048,39023.04,476511,4751103.0
891,Invasion,39.21,2017,10.49,529,1.4,35,0.28,13,0.07,1735.39,11406,34779.63,1456924,80034.07,1164636,32104054.0
892,Ip Man 4: The Finale,20.03,581,6.66,202,0.33,4,0.86,30,0.13,692.07,5980,220930.03,8463516,78831.89,2250812,176345966.0
893,Ira,7.13,213,3.2,131,0.8,17,0.22,13,0.08,1545.39,26956,122975.96,5597957,68013.17,1134464,491800.0
894,Iron Sky: The Coming Race,4.39,144,2.36,134,0.43,3,0.19,7,0.09,2065.13,28265,14493.71,299692,37512.6,205134,400900.0
895,Irresistible,43.7,3282,3.6,199,3.95,186,0.57,36,0.11,1576.79,9870,708103.31,27126423,49303.24,446969,177418.0
